Date,GPT(THB),GPW(USD),CPI,IR,POIL(USD),EXR
31/01/2014,19500,1244.07,97.56,2.25,97.97,32.943
28/02/2014,20550,1331.67,97.8,2.25,102.15,32.6514
31/03/2014,19900,1294.3,98,2,101.69,32.3936
30/04/2014,19800,1296.01,98.49,2,100.76,32.3198
31/05/2014,19500,1256,98.89,2,103.51,32.5304
30/06/2014,20200,1315.8,98.78,2,105.69,32.5144
31/07/2014,19700,1294.86,98.7,2,99.47,32.1011
31/08/2014,19500,1290.29,98.62,2,94.56,32.0089
30/09/2014,18650,1216.24,98.45,2,94.34,32.1887
31/10/2014,18150,1198.91,98.35,2,81.04,32.4575
30/11/2014,18250,1190.7,98.24,2,73.5,32.7925
31/12/2014,18550,1200.26,97.74,2,53.87,32.9082
31/01/2015,19900,1257.61,97.17,2,44.63,32.7378
28/02/2015,18650,1209.45,97.28,2,48.97,32.5715
31/03/2015,18200,1185.4,97.45,1.75,48.73,32.634
30/04/2015,18800,1205.18,97.47,1.5,58.55,32.5163
31/05/2015,19000,1188.65,97.63,1.5,57.97,33.5589
30/06/2015,18800,1180.06,97.73,1.5,58.27,33.7316
31/07/2015,18100,1088.66,97.66,1.5,48.47,34.3114
31/08/2015,19250,1133.25,97.45,1.5,45,35.4279
30/09/2015,19350,1127.46,97.4,1.5,44.92,36.0243
31/10/2015,19350,1148.04,97.59,1.5,45.74,35.7178
30/11/2015,18000,1057.8,97.28,1.5,41.77,35.7833
31/12/2015,18300,1061.38,96.9,1.5,36.81,36.0144
31/01/2016,18900,1115.16,96.65,1.5,33.7,36.1615
29/02/2016,20800,1222.73,96.79,1.5,32.72,35.6041
31/03/2016,20550,1226.06,97,1.5,38.3,35.2364
30/04/2016,21300,1266.27,97.53,1.5,45.9,35.0947
31/05/2016,20500,1206.45,98.08,1.5,49.54,35.4528
30/06/2016,21950,1317.71,98.11,1.5,49.55,35.3045
31/07/2016,22200,1335.75,97.77,1.5,41.12,35.0706
31/08/2016,21600,1311.25,97.73,1.5,46.24,34.7185
30/09/2016,21800,1320.56,97.77,1.5,47.76,34.7365
31/10/2016,21150,1278.01,97.92,1.5,48.25,35.0603
30/11/2016,20050,1188.72,97.87,1.5,45.24,35.3277
31/12/2016,19750,1158.68,97.99,1.5,53.87,35.8084
31/01/2017,20000,1195.38,98.15,1.5,52.6,35.4327
28/02/2017,20700,1252.48,98.19,1.5,54.04,35.0172
31/03/2017,20300,1242.83,97.74,1.5,50.32,34.9022
30/04/2017,20800,1264.26,97.9,1.5,49.59,34.4532
31/05/2017,20400,1263.05,98.04,1.5,49.88,34.4515
30/06/2017,20050,1244.82,98.06,1.5,45.16,33.9992
31/07/2017,20000,1270.16,97.93,1.5,49.97,33.7475
31/08/2017,20550,1308.8,98.04,1.5,46.51,33.2612
30/09/2017,20250,1286.91,98.61,1.5,51.94,33.151
31/10/2017,20100,1276.29,98.76,1.5,54.29,33.2541
30/11/2017,19850,1283.88,98.83,1.5,57.45,32.9263
31/12/2017,20100,1294.85,98.75,1.5,59.94,32.666
31/01/2018,19950,1338.87,98.82,1.5,63.68,31.8798
28/02/2018,19700,1318.53,98.6,1.5,62.7,31.4758
31/03/2018,19700,1325.41,98.51,1.5,64.7,31.2594
30/04/2018,19700,1322.81,98.95,1.5,68.04,31.3148
31/05/2018,19750,1301.51,99.5,1.5,68.1,31.9697
30/06/2018,19650,1247.74,99.42,1.5,71.66,32.4702
31/07/2018,19300,1221.73,99.37,1.5,68.83,33.2698
31/08/2018,18750,1200.34,99.63,1.5,69.64,33.0248
30/09/2018,18300,1183.21,99.92,1.5,72.02,32.6181
31/10/2018,19150,1223,99.98,1.5,66.41,32.7718
30/11/2018,19100,1223.97,99.76,1.5,51.31,32.9695
31/12/2018,19700,1280.08,99.1,1.75,45.43,32.7009
31/01/2019,19550,1320.18,99.08,1.75,54.44,31.8139
28/02/2019,19750,1320.18,99.32,1.75,57.43,31.3075
31/03/2019,19500,1290.14,99.73,1.75,59.67,31.7285
30/04/2019,19450,1279.98,100.17,1.75,63.5,31.8596
31/05/2019,19450,1288.35,100.64,1.75,56.67,31.8596
30/06/2019,20500,1409.56,100.28,1.75,59.28,31.7958
31/07/2019,20850,1430.91,100.34,1.75,58.42,31.1251
31/08/2019,22100,1527.6,100.15,1.5,56.32,30.7927
30/09/2019,21600,1497.08,100.24,1.5,56.39,30.768
31/10/2019,21500,1496.39,100.09,1.5,54.99,30.5704
30/11/2019,20950,1456.7,99.96,1.25,58.08,30.3665
31/12/2019,21550,1515.51,99.97,1.25,61.41,30.2439
31/01/2020,23250,1574.27,100.13,1.25,52.97,30.2228
29/02/2020,23750,1642.14,100.05,1,43.93,30.4396
31/03/2020,24950,1612.25,99.19,0.75,24.25,31.3392
30/04/2020,26200,1715.22,97.17,0.75,19.33,32.1078
31/05/2020,26050,1721.7,97.18,0.5,34.06,32.6314
30/06/2020,25900,1771.77,98.7,0.5,39.76,32.0391
31/07/2020,29050,1960.96,99.36,0.5,40.65,31.1561
31/08/2020,28850,1965.39,99.65,0.5,43.3,31.4171
30/09/2020,28250,1897.81,99.54,0.5,39.43,31.2168
31/10/2020,27750,1868.24,99.59,0.5,36.41,31.3565
30/11/2020,25500,1789.05,99.55,0.5,45.57,31.2689
31/12/2020,26850,1893.55,99.7,0.5,48.41,30.4766
31/01/2021,26200,1840.9,99.79,0.5,52.03,30.0944
28/02/2021,25100,1770.49,98.88,0.5,63.17,30.006
31/03/2021,25000,1685.59,99.11,0.5,60.4,29.9857
30/04/2021,26100,1772.9,100.48,0.5,64.76,30.7894
31/05/2021,28150,1903.69,99.55,0.5,66.58,31.346
30/06/2021,26700,1761.35,99.93,0.5,72.77,31.2993
31/07/2021,28300,1828.21,99.81,0.5,72.75,31.4383
31/08/2021,27750,1810.26,99.63,0.5,68.89,32.6109
30/09/2021,27750,1726.4,101.21,0.5,74.47,33.119
31/10/2021,28150,1799.03,101.96,0.5,81.71,33.0368
30/11/2021,28650,1785.34,102.25,0.5,69.69,33.4816
31/12/2021,28650,1815.44,101.86,0.5,76.12,33.0958
31/01/2022,28300,1791.19,103.01,0.5,85.92,33.2395
28/02/2022,29350,1920.86,104.1,0.5,92.97,32.6737
31/03/2022,30350,1932.8,104.79,0.5,105.3,33.2516
30/04/2022,30850,1894.43,105.15,0.5,103.12,33.8209
31/05/2022,30000,1856.4,106.62,0.5,112.1,34.4164
30/06/2022,30350,1817.8,107.58,0.5,106.67,34.9722
31/07/2022,30300,1755.81,107.41,0.5,95.42,36.3439
31/08/2022,29700,1723.83,107.46,0.75,91.85,35.879
30/09/2022,29800,1661.13,107.7,1,80.86,37.0439
31/10/2022,29550,1643.69,108.06,1,87.06,37.9204
30/11/2022,29450,1749.82,107.92,1.25,78.98,36.4265
31/12/2022,29850,1815.14,107.86,1.25,78.75,34.7953
31/01/2023,29800,1922.82,108.18,1.5,78.19,33.2248
28/02/2023,30200,1817.38,108.05,1.5,75.87,34.0083
31/03/2023,31950,1978.62,107.76,1.75,74.44,34.5029
30/04/2023,32200,1986.75,107.96,1.75,74.71,34.2848
31/05/2023,32200,1959.3,107.19,2,69.67,34.2532
30/06/2023,32000,1908.53,107.83,2,69.95,34.923
31/07/2023,31750,1959.49,107.82,2,80.23,34.6273
31/08/2023,32150,1942.61,108.41,2.25,81.14,35.0465
30/09/2023,32150,1865.43,108.02,2.5,89.7,35.8465
31/10/2023,34000,1996,107.72,2.5,81.96,36.5219
30/11/2023,33900,2044.8,107.45,2.5,77.79,35.4656
31/12/2023,33650,2065.15,106.96,2.5,72.15,34.9762